C4,-6.35,-11.43,180.00,1mf,CAP_RADIAL_10MM
D1,-3.81,3.81,180.00,,SMD_LED-1206
D2,-39.37,-3.81,90.00,,SMD_LED-1206
D3,21.59,3.81,180.00,,SMD_LED-1206
J7,1.27,10.16,0.00,,HEADER_PIN_1X05
R2,1.27,3.81,180.00,150,SMD_RESISTOR_0805
R3,-39.37,1.27,90.00,150,SMD_RESISTOR_0805
R4,26.67,3.81,180.00,150,SMD_RESISTOR_0805
R5,-7.62,8.89,90.00,,SMD_RESISTOR_0805
R6,-10.08,8.89,90.00,,SMD_RESISTOR_0805
U1,-25.36,0.00,180.00,M0_EXPRESS,M0_EXPRESS
