Comment,Designator,Footprint,LCSC Part #
330OHM ,R1,SMD_RESISTOR_0805,C17630
WS2812B3535,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20,LED3535,C527089
10uF,C1 C2 C3,SMD_CAPACITORS_0603,C1691
SS39ET,U$3 U$4 U$5,SOT95P280X140-3N,C41364879
