Comment,Device,Footprint,Designator
1uF,SMD_CAPACITORS-0805-25V-(+80/-20%),SMD_CAPACITORS_0805,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
330,RESISTORS0805-RES,SMD_RESISTOR_0805,R1
WS2812B3535,WS2812B3535,LED3535,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12"
